EmployeeID,Name,Department,Age,Salary,City
1001,Employee 1,HR,23,31200,Delhi
1002,Employee 2,IT,24,32400,Mumbai
1003,Employee 3,Finance,25,33600,Lucknow
1004,Employee 4,Sales,26,34800,Pune
1005,Employee 5,Marketing,27,36000,Bengaluru
1006,Employee 6,HR,28,37200,Delhi
1007,Employee 7,IT,29,38400,Mumbai
1008,Employee 8,Finance,30,39600,Lucknow
1009,Employee 9,Sales,31,40800,Pune
1010,Employee 10,Marketing,32,42000,Bengaluru
1011,Employee 11,HR,33,43200,Delhi
1012,Employee 12,IT,34,44400,Mumbai
1013,Employee 13,Finance,35,45600,Lucknow
1014,Employee 14,Sales,36,46800,Pune
1015,Employee 15,Marketing,37,48000,Bengaluru
1016,Employee 16,HR,38,49200,Delhi
1017,Employee 17,IT,39,50400,Mumbai
1018,Employee 18,Finance,40,51600,Lucknow
1019,Employee 19,Sales,22,52800,Pune
1020,Employee 20,Marketing,23,54000,Bengaluru
1021,Employee 21,HR,24,55200,Delhi
1022,Employee 22,IT,25,56400,Mumbai
1023,Employee 23,Finance,26,57600,Lucknow
1024,Employee 24,Sales,27,58800,Pune
1025,Employee 25,Marketing,28,60000,Bengaluru
1026,Employee 26,HR,29,61200,Delhi
1027,Employee 27,IT,30,62400,Mumbai
1028,Employee 28,Finance,31,63600,Lucknow
1029,Employee 29,Sales,32,64800,Pune
1030,Employee 30,Marketing,33,66000,Bengaluru
1031,Employee 31,HR,34,67200,Delhi
1032,Employee 32,IT,35,68400,Mumbai
1033,Employee 33,Finance,36,69600,Lucknow
1034,Employee 34,Sales,37,70800,Pune
1035,Employee 35,Marketing,38,72000,Bengaluru
1036,Employee 36,HR,39,73200,Delhi
1037,Employee 37,IT,40,74400,Mumbai
1038,Employee 38,Finance,22,75600,Lucknow
1039,Employee 39,Sales,23,76800,Pune
1040,Employee 40,Marketing,24,78000,Bengaluru
1041,Employee 41,HR,25,79200,Delhi
1042,Employee 42,IT,26,80400,Mumbai
1043,Employee 43,Finance,27,81600,Lucknow
1044,Employee 44,Sales,28,82800,Pune
1045,Employee 45,Marketing,29,84000,Bengaluru
1046,Employee 46,HR,30,85200,Delhi
1047,Employee 47,IT,31,86400,Mumbai
1048,Employee 48,Finance,32,87600,Lucknow
1049,Employee 49,Sales,33,88800,Pune
1050,Employee 50,Marketing,34,90000,Bengaluru
